path	node	rank	remark
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudoxanthobacter	Pseudoxanthobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Starkeya	Starkeya	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;uncultured	uncultured	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter	Xanthobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	Rhodobacterales	order	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Rhodobacteraceae	family	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albidovulum	Albidovulum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albimonas	Albimonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amaricoccus	Amaricoccus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Antarctobacter	Antarctobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Celeribacter	Celeribacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Citreicella	Citreicella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Citreimonas	Citreimonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Dinoroseobacter	Dinoroseobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Donghicola	Donghicola	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gaetbulicola	Gaetbulicola	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter	Gemmobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Haematobacter	Haematobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia	Jannaschia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ketogulonicigenium	Ketogulonicigenium	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Labrenzia	Labrenzia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Leisingera	Leisingera	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Litoreibacter	Litoreibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella	Loktanella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Lutimaribacter	Lutimaribacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Maribius	Maribius	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinosulfonomonas	Marinosulfonomonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinovum	Marinovum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Maritimibacter	Maritimibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita	Marivita	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Methylarcula	Methylarcula	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nautella	Nautella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nereida	Nereida	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nesiotobacter	Nesiotobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanibulbus	Oceanibulbus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanicella	Oceanicella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanicola	Oceanicola	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceaniovalibus	Oceaniovalibus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Octadecabacter	Octadecabacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pacificibacter	Pacificibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Palleronia	Palleronia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pannonibacter	Pannonibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	Paracoccus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pelagibaca	Pelagibaca	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pelagicola	Pelagicola	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Phaeobacter	Phaeobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktotalea	Planktotalea	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pontibaca	Pontibaca	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ponticoccus	Ponticoccus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Poseidonocella	Poseidonocella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Primorskyibacter	Primorskyibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Profundibacterium	Profundibacterium	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudorhodobacter	Pseudorhodobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria	Pseudoruegeria	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudovibrio	Pseudovibrio	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobaca	Rhodobaca	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter	Rhodobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodothalassium	Rhodothalassium	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum	Rhodovulum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibaca	Roseibaca	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibacterium	Roseibacterium	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibium	Roseibium	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseicitreum	Roseicitreum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseicyclus	Roseicyclus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter	Roseinatronobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseisalinus	Roseisalinus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseivivax	Roseivivax	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter	Roseobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade AS-21 lineage	Roseobacter clade AS-21 lineage	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade CHAB-I-5 lineage	Roseobacter clade CHAB-I-5 lineage	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade DC5-80-3 lineage	Roseobacter clade DC5-80-3 lineage	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade Marinomonas lineage	Roseobacter clade Marinomonas lineage	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC11-7 lineage	Roseobacter clade NAC11-7 lineage	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade OCT lineage	Roseobacter clade OCT lineage	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade TM1040 lineage	Roseobacter clade TM1040 lineage	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseovarius	Roseovarius	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium	Rubellimicrobium	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubribacterium	Rubribacterium	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubrimonas	Rubrimonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ruegeria	Ruegeria	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sagittula	Sagittula	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Salinihabitans	Salinihabitans	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Salipiger	Salipiger	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sediminimonas	Sediminimonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Seohaeicola	Seohaeicola	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Shimia	Shimia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Stappia	Stappia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter	Sulfitobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tateyamaria	Tateyamaria	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassobacter	Thalassobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassobius	Thalassobius	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassococcus	Thalassococcus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thioclava	Thioclava	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tranquillimonas	Tranquillimonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tropicibacter	Tropicibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tropicimonas	Tropicimonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured	uncultured	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Vadicella	Vadicella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Wenxinia	Wenxinia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Yangia	Yangia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	Rhodospirillales	order	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Acetobacteraceae	family	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter	Acetobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidicaldus	Acidicaldus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium	Acidiphilium	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma	Acidisoma	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera	Acidisphaera	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella	Acidocella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidomonas	Acidomonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Ameyamaea	Ameyamaea	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia	Asaia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Belnapia	Belnapia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Craurococcus	Craurococcus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter	Gluconacetobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter	Gluconobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Granulibacter	Granulibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Humitalea	Humitalea	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Kozakia	Kozakia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Muricoccus	Muricoccus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Neoasaia	Neoasaia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Oleomonas	Oleomonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Paracraurococcus	Paracraurococcus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodopila	Rhodopila	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodovarius	Rhodovarius	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodovastum	Rhodovastum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseococcus	Roseococcus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	Roseomonas	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rubritepida	Rubritepida	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Saccharibacter	Saccharibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Stella	Stella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Swaminathania	Swaminathania	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Tanticharoenia	Tanticharoenia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;uncultured	uncultured	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Zavarzinia	Zavarzinia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AKYH478	AKYH478	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AT-s3-44	AT-s3-44	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;B79	B79	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;CCU22	CCU22	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;DA111	DA111	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Family Incertae Sedis	Family Incertae Sedis	family	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Family Incertae Sedis;Candidatus Alysiosphaera	Candidatus Alysiosphaera	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Family Incertae Sedis;Elioraea	Elioraea	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Family Incertae Sedis;Geminicoccus	Geminicoccus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Family Incertae Sedis;Reyranella	Reyranella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;I-10	I-10	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;JG37-AG-20	JG37-AG-20	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;KCM-B-15	KCM-B-15	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;KCM-B-60	KCM-B-60	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;MNC12	MNC12	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;MND8	MND8	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;MSB-1E8	MSB-1E8	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	Rhodospirillaceae	family	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169 marine group	AEGEAN-169 marine group	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum	Azospirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Caenispirillum	Caenispirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus	Defluviicoccus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Dongia	Dongia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Elstera	Elstera	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Ferrovibrio	Ferrovibrio	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Fodinicurvata	Fodinicurvata	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Inquilinus	Inquilinus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Insolitispirillum	Insolitispirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospira	Magnetospira	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum	Magnetospirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Marispirillum	Marispirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Nisaea	Nisaea	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Novispirillum	Novispirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Oceanibaculum	Oceanibaculum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;OM75 clade	OM75 clade	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pelagibius	Pelagibius	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Phaeospirillum	Phaeospirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodocista	Rhodocista	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospira	Rhodospira	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum	Rhodospirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodovibrio	Rhodovibrio	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Roseospira	Roseospira	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Roseospirillum	Roseospirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella	Skermanella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Telmatospirillum	Telmatospirillum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassobaculum	Thalassobaculum	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira	Thalassospira	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Tistlia	Tistlia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Tistrella	Tistrella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured	uncultured	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales	Rickettsiales	order	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae	Anaplasmataceae	family	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma	Anaplasma	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Candidatus Neoehrlichia	Candidatus Neoehrlichia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Candidatus Xenohaliotis	Candidatus Xenohaliotis	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Ehrlichia	Ehrlichia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Neorickettsia	Neorickettsia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;uncultured	uncultured	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia	Wolbachia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;bac2nit3	bac2nit3	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;EF100-94H03	EF100-94H03	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis	Family Incertae Sedis	family	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Caedibacter	Caedibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Candidatus Anadelfobacter	Candidatus Anadelfobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Candidatus Captivus	Candidatus Captivus	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Candidatus Cyrtobacter	Candidatus Cyrtobacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Candidatus Defluviella	Candidatus Defluviella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Candidatus Hepatincola	Candidatus Hepatincola	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Candidatus Lariskella	Candidatus Lariskella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Candidatus Midichloria	Candidatus Midichloria	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Candidatus Odyssella	Candidatus Odyssella	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis;Constrictibacter	Constrictibacter	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Ho(lab)	Ho(lab)	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Holosporaceae	Holosporaceae	family	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Holosporaceae;Candidatus Gortzia	Candidatus Gortzia	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Holosporaceae;Candidatus Paraholospora	Candidatus Paraholospora	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Holosporaceae;Holospora	Holospora	genus	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Holosporaceae;uncultured	uncultured	genus	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;LR A2-29	LR A2-29	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;LWSR-14	LWSR-14	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;mitochondria	mitochondria	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;RB446	RB446	family	a
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae	Rickettsiaceae	family	''
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Cryptoprodotis	Candidatus Cryptoprodotis	genus	''
