path	node	rank	remark
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;uncultured	uncultured	genus	a
Archaea;Euryarchaeota;Halobacteria	Halobacteria	class	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales	Halobacteriales	order	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Deep Sea Euryarchaeotic Group(DSEG)	Deep Sea Euryarchaeotic Group(DSEG)	family	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	family	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Deep Sea Hydrothermal Vent Gp 6(DHVEG-6);Candidatus Parvarchaeum	Candidatus Parvarchaeum	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae	Halobacteriaceae	family	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haladaptatus	Haladaptatus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus	Halalkalicoccus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halarchaeum	Halarchaeum	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarchaeobius	Haloarchaeobius	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarcula	Haloarcula	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium	Halobacterium	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobaculum	Halobaculum	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobellus	Halobellus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobiforma	Halobiforma	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus	Halococcus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax	Haloferax	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halogeometricum	Halogeometricum	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halogranum	Halogranum	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halolamina	Halolamina	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halomarina	Halomarina	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halomicrobium	Halomicrobium	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halonotius	Halonotius	genus	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halopelagius	Halopelagius	genus	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halopenitus	Halopenitus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halopiger	Halopiger	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloplanus	Haloplanus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloquadratum	Haloquadratum	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorhabdus	Halorhabdus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorientalis	Halorientalis	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubellus	Halorubellus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum	Halorubrum	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorussus	Halorussus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halosarcina	Halosarcina	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halosimplex	Halosimplex	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halostagnicola	Halostagnicola	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloterrigena	Haloterrigena	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halovivax	Halovivax	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrialba	Natrialba	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrinema	Natrinema	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronoarchaeum	Natronoarchaeum	genus	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronobacterium	Natronobacterium	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronococcus	Natronococcus	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronolimnobius	Natronolimnobius	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronomonas	Natronomonas	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronorubrum	Natronorubrum	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Salarchaeum	Salarchaeum	genus	''
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;uncultured	uncultured	genus	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Marine Hydrothermal Vent Group(MHVG)	Marine Hydrothermal Vent Group(MHVG)	family	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Miscellaneous Euryarchaeotic Group(MEG)	Miscellaneous Euryarchaeotic Group(MEG)	family	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;MSP41	MSP41	family	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;SM1K20	SM1K20	family	a
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;TVG8AR30	TVG8AR30	family	a
Archaea;Euryarchaeota;Methanobacteria	Methanobacteria	class	''
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	Methanobacteriales	order	''
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	Methanobacteriaceae	family	''
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium	Methanobacterium	genus	''
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	Methanobrevibacter	genus	''
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera	Methanosphaera	genus	''
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter	Methanothermobacter	genus	''
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;uncultured	uncultured	genus	a
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae	Methanothermaceae	family	''
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus	Methanothermus	genus	''
Archaea;Euryarchaeota;Methanococci	Methanococci	class	''
Archaea;Euryarchaeota;Methanococci;Methanococcales	Methanococcales	order	''
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae	Methanocaldococcaceae	family	''
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus	Methanocaldococcus	genus	''
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanotorris	Methanotorris	genus	''
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae	Methanococcaceae	family	''
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus	Methanococcus	genus	''
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus	Methanothermococcus	genus	''
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;uncultured	uncultured	genus	a
Archaea;Euryarchaeota;Methanomicrobia	Methanomicrobia	class	''
Archaea;Euryarchaeota;Methanomicrobia;AK5	AK5	order	a
Archaea;Euryarchaeota;Methanomicrobia;ANME-1	ANME-1	order	a
Archaea;Euryarchaeota;Methanomicrobia;ANME-1;ANME-1a	ANME-1a	family	a
Archaea;Euryarchaeota;Methanomicrobia;ANME-1;ANME-1b	ANME-1b	family	a
Archaea;Euryarchaeota;Methanomicrobia;D-C06	D-C06	order	a
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales	Methanocellales	order	''
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;BS-K-E9	BS-K-E9	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae	Methanocellaceae	family	''
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella	Methanocella	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Rice Cluster I	Rice Cluster I	genus	a
