	sample	unit	fq1	fq2
0	A071SE	A	demultiplexed/A071SE_A_R1.fastq	demultiplexed/A071SE_A_R2.fastq
1	A071SE	B	demultiplexed/A071SE_B_R1.fastq	demultiplexed/A071SE_B_R2.fastq
2	A172WA	A	demultiplexed/A172WA_A_R1.fastq	demultiplexed/A172WA_A_R2.fastq
3	A172WA	B	demultiplexed/A172WA_B_R1.fastq	demultiplexed/A172WA_B_R2.fastq
